,artist,album,track_name,track_id,danceability,energy,valence,tempo,duration_ms
34,Taylor Swift,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),Message In A Bottle (Fat Max G Remix) (Taylor’s Version),3tGq7hWDCtrnL83y5OGual,0.684,0.733,0.343,115.969,224649
35,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,1n3b9Eekoy3S9ZSZ5DmTW1,0.585,0.286,0.189,93.009,598150
36,Taylor Swift,Red (Taylor's Version),Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,0.622,0.791,0.494,115.915,225960
37,Taylor Swift,Red (Taylor's Version),Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,0.61,0.488,0.443,125.039,240227
38,Taylor Swift,Red (Taylor's Version),I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,0.391,0.715,0.473,149.654,285107
39,Taylor Swift,Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0.631,0.518,0.205,93.023,613027
40,Taylor Swift,Red (Taylor's Version),Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,0.606,0.377,0.446,101.96,258813
41,Taylor Swift,Red (Taylor's Version),Forever Winter (Taylor's Version) (From The Vault),3oGVx9RBmiYGv5ZCecWLkx,0.611,0.552,0.41,116.012,263533
42,Taylor Swift,Red (Taylor's Version),Babe (Taylor's Version) (From The Vault),0v4z1tuZvn6LGknom9Qx7d,0.584,0.743,0.746,167.844,224240
43,Taylor Swift,Red (Taylor's Version),Better Man (Taylor's Version) (From The Vault),4OmFmE0fzcMG6g0Y8p4eSD,0.473,0.579,0.255,73.942,297013
44,Taylor Swift,Red (Taylor's Version),The Very First Night (Taylor's Version) (From The Vault),6pYNq0ZwpPVazKzsqpf0G8,0.678,0.733,0.581,121.009,200280
45,Taylor Swift,Red (Taylor's Version),State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,0.594,0.713,0.328,129.958,295413
46,Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,0.516,0.777,0.408,125.047,223093
47,Taylor Swift,Red (Taylor's Version),Treacherous (Taylor's Version),3S7HNKPakdwNEBFIVTL6dZ,0.645,0.593,0.299,109.984,242720
